ID,ORGANIZATION,CONTACT,PHONE,VEHICLES,WALKERS
1,Organization Name #1,Contact Person #1,5555550001,1,3
2,Organization Name #2,Contact Person #2,5555550002,1,3
3,Organization Name #3,Contact Person #3,5555550003,1,3
4,Organization Name #4,Contact Person #4,5555550004,1,3
5,Organization Name #5,Contact Person #5,5555550005,1,3
6,Organization Name #6,Contact Person #6,5555550006,1,3
7,Organization Name #7,Contact Person #7,5555550007,1,3
8,Organization Name #8,Contact Person #8,5555550008,1,3
9,Organization Name #9,Contact Person #9,5555550009,1,3
10,Organization Name #10,Contact Person #10,5555550010,1,3
